ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
6,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0
7,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
8,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1
9,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
10,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
11,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
12,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
13,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0
14,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
15,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
16,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
18,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
19,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1
20,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0